Ruta;Sitio;Año;Camara;Extra;Archivo;Fecha;Hora;Animal_proba;Animal;Guanaco_proba;Guanaco;Validar;Validado;Especie;Cantidad;burst
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0011.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0011.JPG;7/2/2023;16:07:00;3,83E-04;0;;;FALSE;1;Guanaco;1.0;3
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0020.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0020.JPG;9/2/2023;11:45:02;6,62E-07;0;;;FALSE;1;Guanaco;1.0;4
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0028.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0028.JPG;9/2/2023;12:06:59;4,20E-07;0;;;FALSE;1;Guanaco;1.0;4
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0039.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0039.JPG;9/2/2023;12:24:34;1,96E-05;0;;;FALSE;1;Guanaco;1.0;4
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0094.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0094.JPG;9/2/2023;13:00:14;1,56E+00;0;;;FALSE;1;Guanaco;1.0;5
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0118.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0118.JPG;9/2/2023;13:39:43;2,19E-08;0;;;FALSE;1;Guanaco;1.0;5
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0184.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0184.JPG;11/2/2023;12:44:03;1,30E-03;0;;;FALSE;1;Guanaco;1.0;5
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0005.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0005.JPG;11/2/2023;18:07:32;0.9999848;1;0.2522241;0.0;TRUE;1;SIN ANIMAL;;5
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0006.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0006.JPG;11/2/2023;18:07:34;0.99997425;1;0.24255215;0.0;TRUE;1;SIN ANIMAL;;5
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0010.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0010.JPG;13/2/2023;20:15:44;0.82576007;1;0.0018864592;0.0;TRUE;1;SIN ANIMAL;;6
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0012.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0012.JPG;13/2/2023;20:15:47;0.7206367;1;0.003912119;0.0;TRUE;1;SIN ANIMAL;;6
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0021.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0021.JPG;15/2/2023;01:57:36;0.2872224;0;;;TRUE;1;SIN ANIMAL;;6
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0040.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0040.JPG;19/2/2023;08:57:34;0.9893086;1;0.20950249;0.0;TRUE;1;SIN ANIMAL;;7
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0041.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0041.JPG;19/2/2023;08:57:35;0.9890664;1;0.16628487;0.0;TRUE;1;SIN ANIMAL;;7
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0055.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0055.JPG;19/2/2023;09:53:07;0.9997382;1;0.6859549;1.0;TRUE;1;SIN ANIMAL;;7
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0066.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0066.JPG;19/2/2023;17:27:46;0.99998933;1;0.6356812;1.0;TRUE;1;SIN ANIMAL;;8
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0084.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0084.JPG;19/2/2023;17:47:48;0.9999547;1;0.41710278;0.0;TRUE;1;SIN ANIMAL;;8
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib3\IMG_0159.JPG;Muestreo ct Iberica;2023;Ib3;;IMG_0159.JPG;31/5/2023;05:41:03;0.86666214;1;0.0063190763;0.0;TRUE;1;SIN ANIMAL;;8
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0048.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0048.JPG;7/2/2023;15:29:21;1,45E+01;0;;;FALSE;1;Guanaco;1.0;8
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0122.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0122.JPG;23/2/2023;15:36:35;0.00036099937;0;;;FALSE;1;Guanaco;1.0;9
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0138.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0138.JPG;1/3/2023;15:05:28;8,08E-02;0;;;FALSE;1;Guanaco;1.0;9
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0158.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0158.JPG;3/3/2023;17:19:00;2,86E-03;0;;;FALSE;1;Guanaco;1.0;9
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0164.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0164.JPG;3/3/2023;17:19:45;7,87E-03;0;;;FALSE;1;Guanaco;1.0;9
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0167.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0167.JPG;3/3/2023;17:19:57;3,12E-04;0;;;FALSE;1;Guanaco;1.0;10
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0173.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0173.JPG;3/3/2023;17:21:49;5,71E-01;0;;;FALSE;1;Guanaco;1.0;10
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct Iberica\2023\Ib7\IMG_0177.JPG;Muestreo ct Iberica;2023;Ib7;;IMG_0177.JPG;11/3/2023;09:52:25;5,98E-05;0;;;FALSE;1;Guanaco;1.0;10
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (3).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (3).JPG;5/2/2020;20:46:19;1.0;1;0.8031036;1.0;TRUE;1;SIN ANIMAL;;10
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (4).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (4).JPG;5/2/2020;20:47:07;1.0;1;0.7284132;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (5).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (5).JPG;5/2/2020;20:47:11;0.9999995;1;0.6770363;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (6).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (6).JPG;5/2/2020;20:47:14;0.99999934;1;0.6319682;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (7).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (7).JPG;5/2/2020;20:51:46;1.0;1;0.746492;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (10).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (10).JPG;5/2/2020;20:51:56;0.9999992;1;0.6385619;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (11).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (11).JPG;5/2/2020;20:51:59;0.9999997;1;0.6224729;1.0;TRUE;1;SIN ANIMAL;;11
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (17).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (17).JPG;7/2/2020;08:29:38;1.0;1;0.97193027;1.0;FALSE;1;Guanaco;1.0;12
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (18).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (18).JPG;7/2/2020;13:51:51;0.71525127;1;0.9580145;1.0;TRUE;1;SIN ANIMAL;;12
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (19).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (19).JPG;7/2/2020;13:51:53;0.9957729;1;0.94832027;1.0;FALSE;1;Guanaco;1.0;12
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (21).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (21).JPG;7/2/2020;13:51:58;0.99513865;1;0.9488136;1.0;FALSE;1;Guanaco;1.0;13
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (26).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (26).JPG;9/2/2020;12:47:43;0.99680024;1;0.97561496;1.0;FALSE;1;Guanaco;1.0;13
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\0-S1- (1).JPG;Muestreo ct sauce;CT S 2020;S1;;0-S1- (1).JPG;9/2/2020;14:47:11;0.9922831;1;0.9935647;1.0;FALSE;1;Guanaco;1.0;13
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\IMG_0011.JPG;Muestreo ct sauce;CT S 2020;S1;;IMG_0011.JPG;11/2/2020;10:38:28;1.0;1;0.9682223;1.0;FALSE;1;Guanaco;1.0;14
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\IMG_0022.JPG;Muestreo ct sauce;CT S 2020;S1;;IMG_0022.JPG;12/2/2020;07:52:40;1.0;1;0.88555914;1.0;TRUE;1;SIN ANIMAL;;14
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\IMG_0023.JPG;Muestreo ct sauce;CT S 2020;S1;;IMG_0023.JPG;12/2/2020;07:52:41;1.0;1;0.8661023;1.0;TRUE;1;SIN ANIMAL;;15
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S1\IMG_0025.JPG;Muestreo ct sauce;CT S 2020;S1;;IMG_0025.JPG;12/2/2020;07:52:45;1.0;1;0.81340045;1.0;TRUE;1;SIN ANIMAL;;15
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S14\S14 - (291).JPG;Muestreo ct sauce;CT S 2020;S14;;S14 - (291).JPG;10/2/2020;14:53:53;0.9991006;1;0.67091084;1.0;TRUE;1;SIN ANIMAL;;16
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S14\S14 - (294).JPG;Muestreo ct sauce;CT S 2020;S14;;S14 - (294).JPG;10/2/2020;14:53:59;0.99967366;1;0.6586332;1.0;TRUE;1;SIN ANIMAL;;16
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S15\S15 - (96).JPG;Muestreo ct sauce;CT S 2020;S15;;S15 - (96).JPG;6/2/2020;21:42:23;1.0;1;0.56585026;1.0;TRUE;0;;;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S15\S15 - (106).JPG;Muestreo ct sauce;CT S 2020;S15;;S15 - (106).JPG;7/2/2020;08:14:49;1.0;1;0.008107132;0.0;TRUE;0;;;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S15\S15 - (111).JPG;Muestreo ct sauce;CT S 2020;S15;;S15 - (111).JPG;7/2/2020;21:42:40;1.0;1;0.87614197;1.0;TRUE;0;;;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S15\IMG_0191.JPG;Muestreo ct sauce;CT S 2020;S15;;IMG_0191.JPG;15/2/2020;21:57:56;0.99999994;1;0.00010663732;0.0;TRUE;0;;;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S15\IMG_0193.JPG;Muestreo ct sauce;CT S 2020;S15;;IMG_0193.JPG;15/2/2020;21:58:00;1.0;1;3,82E+01;0.0;TRUE;0;;;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2022\S15\IMG_1209.JPG;Muestreo ct sauce;CT S 2022;S15;;IMG_1209.JPG;12/3/2022;18:07:07;1.0;1;0.93242276;1.0;FALSE;1;Guanaco;1.0;17
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2022\S15\IMG_1211.JPG;Muestreo ct sauce;CT S 2022;S15;;IMG_1211.JPG;12/3/2022;18:07:36;1.0;1;0.9274049;1.0;FALSE;1;Guanaco;1.0;18
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\IMG_0746.JPG;Muestreo ct sauce;CT S 2020;S16;;IMG_0746.JPG;22/2/2020;00:08:49;0.9999987;1;0.75422186;1.0;TRUE;0;;;18
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\IMG_0836.JPG;Muestreo ct sauce;CT S 2020;S16;;IMG_0836.JPG;22/2/2020;23:01:55;1.0;1;0.9695172;1.0;FALSE;1;Guanaco;1.0;18
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\IMG_0841.JPG;Muestreo ct sauce;CT S 2020;S16;;IMG_0841.JPG;22/2/2020;23:07:48;0.99999976;1;0.7041856;1.0;TRUE;0;;;18
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\IMG_0866.JPG;Muestreo ct sauce;CT S 2020;S16;;IMG_0866.JPG;23/2/2020;00:53:09;0.99994045;1;0.55692726;1.0;TRUE;0;;;19
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\z-S16 (509).JPG;Muestreo ct sauce;CT S 2020;S16;;z-S16 (509).JPG;27/2/2020;20:05:13;0.99989355;1;0.2982877;0.0;TRUE;0;;;19
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S16\z-S16 (890).JPG;Muestreo ct sauce;CT S 2020;S16;;z-S16 (890).JPG;29/2/2020;20:27:16;0.99997646;1;0.46967635;0.0;TRUE;0;;;20
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S17\IMG_0301.JPG;Muestreo ct sauce;CT S 2020;S17;;IMG_0301.JPG;21/2/2020;19:23:06;0.9999941;1;0.8456799;1.0;TRUE;0;;;20
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S17\IMG_0321.JPG;Muestreo ct sauce;CT S 2020;S17;;IMG_0321.JPG;21/2/2020;19:59:38;0.99892014;1;0.8244445;1.0;TRUE;0;;;20
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S17\IMG_3317.JPG;Muestreo ct sauce;CT S 2020;S17;;IMG_3317.JPG;22/2/2020;05:50:27;1.0;1;0.39591038;0.0;TRUE;0;;;21
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S17\IMG_3357.JPG;Muestreo ct sauce;CT S 2020;S17;;IMG_3357.JPG;22/2/2020;08:48:23;0.99986833;1;0.23179996;0.0;TRUE;0;;;21
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S17\IMG_3362.JPG;Muestreo ct sauce;CT S 2020;S17;;IMG_3362.JPG;22/2/2020;09:06:38;0.9999927;1;0.0028854928;0.0;TRUE;0;;;21
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2022\S18\1 - S18 - (2).JPG;Muestreo ct sauce;CT S 2022;S18;;1 - S18 - (2).JPG;19/2/2022;18:05:37;0.9999997;1;0.77713436;1.0;TRUE;0;;;21
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2022\S18\1 - S18 - (7).JPG;Muestreo ct sauce;CT S 2022;S18;;1 - S18 - (7).JPG;21/2/2022;15:11:20;1.0;1;0.70429415;1.0;TRUE;0;;;22
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (9).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (9).JPG;19/2/2023;11:57:53;0.0;0;;;FALSE;1;Guanaco;1.0;22
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (24).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (24).JPG;19/2/2023;12:06:42;0.0;0;;;FALSE;1;Guanaco;1.0;22
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (25).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (25).JPG;19/2/2023;12:08:15;0.0;0;;;FALSE;1;Guanaco;1.0;22
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (68).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (68).JPG;19/2/2023;12:25:39;0.0;0;;;FALSE;1;Guanaco;1.0;22
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (70).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (70).JPG;19/2/2023;12:26:02;0.0;0;;;FALSE;1;Guanaco;1.0;23
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (263).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (263).JPG;19/2/2023;13:15:23;0.0;0;;;FALSE;1;Guanaco;1.0;23
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (275).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (275).JPG;19/2/2023;13:18:46;0.0;0;;;FALSE;1;Guanaco;1.0;23
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (276).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (276).JPG;19/2/2023;13:18:46;0.0;0;;;FALSE;1;Guanaco;1.0;23
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (316).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (316).JPG;19/2/2023;13:30:57;0.0;0;;;FALSE;1;Guanaco;1.0;23
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (317).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (317).JPG;19/2/2023;13:30:58;0.0;0;;;FALSE;1;Guanaco;1.0;24
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (851).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (851).JPG;19/2/2023;19:48:37;6,39E-24;0;;;FALSE;1;Guanaco;1.0;24
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (862).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (862).JPG;20/2/2023;08:12:44;0.0;0;;;FALSE;1;Guanaco;1.0;25
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (2888).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (2888).JPG;25/2/2023;11:02:39;0.0;0;;;FALSE;1;Guanaco;1.0;25
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-a- (2965).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-a- (2965).JPG;25/2/2023;11:37:44;0.0;0;;;FALSE;1;Guanaco;1.0;25
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1289).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1289).JPG;6/4/2023;13:05:46;1,09E-04;0;;;FALSE;1;Guanaco;1.0;25
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1293).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1293).JPG;6/4/2023;16:00:06;4,42E-03;0;;;FALSE;1;Guanaco;1.0;26
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1294).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1294).JPG;6/4/2023;16:06:41;4,44E-05;0;;;FALSE;1;Guanaco;1.0;26
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1307).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1307).JPG;7/4/2023;12:43:56;3,02E-06;0;;;FALSE;1;Guanaco;1.0;26
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1309).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1309).JPG;7/4/2023;14:38:58;4,05E-04;0;;;FALSE;1;Guanaco;1.0;27
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1316).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1316).JPG;7/4/2023;16:12:17;3,32E+00;0;;;FALSE;1;Guanaco;1.0;27
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1327).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1327).JPG;8/4/2023;14:25:30;2,14E-03;0;;;FALSE;1;Guanaco;1.0;28
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2023\S4\S4-b- (1342).JPG;Muestreo ct sauce;CT S 2023;S4;;S4-b- (1342).JPG;9/4/2023;12:52:37;1,18E-06;0;;;FALSE;1;Guanaco;1.0;28
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S6\z-S6 (17).JPG;Muestreo ct sauce;CT S 2020;S6;;z-S6 (17).JPG;8/3/2020;15:55:41;0.86879146;1;0.6076959;1.0;TRUE;0;;;29
proyecto_final/interfaces_de_usuario/imagenes_test\Muestreo ct sauce\CT S 2020\S9\IMG_0416.JPG;Muestreo ct sauce;CT S 2020;S9;;IMG_0416.JPG;23/2/2020;08:40:45;1.0;1;1,19E+01;0.0;TRUE;0;;;29
