,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal,Guanaco_proba,Guanaco,Validar,Validado,Especie,Cantidad
39,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (263).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (263).JPG,2023-02-19,13:15:23,0.0,0,,,False,1,Guanaco,1
40,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (9).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (9).JPG,2023-02-19,11:57:53,0.0,0,,,False,1,Guanaco,1
41,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2965).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2965).JPG,2023-02-25,11:37:44,0.0,0,,,False,1,Guanaco,1
42,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1342).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1342).JPG,2023-04-09,12:52:37,1.1768562e-13,0,,,False,1,Guanaco,1
43,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1289).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1289).JPG,2023-04-06,13:05:46,1.0903246e-11,0,,,False,1,Guanaco,1
44,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1309).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1309).JPG,2023-04-07,14:38:58,4.0512874e-11,0,,,False,1,Guanaco,1
45,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (316).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (316).JPG,2023-02-19,13:30:57,0.0,0,,,False,1,Guanaco,1
46,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2888).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2888).JPG,2023-02-25,11:02:39,0.0,0,,,False,1,Guanaco,1
47,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (862).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (862).JPG,2023-02-20,08:12:44,0.0,0,,,False,1,Guanaco,1
48,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (70).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (70).JPG,2023-02-19,12:26:02,0.0,0,,,False,1,Guanaco,1
49,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1294).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1294).JPG,2023-04-06,16:06:41,4.4361364e-12,0,,,False,1,Guanaco,1
50,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (317).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (317).JPG,2023-02-19,13:30:58,0.0,0,,,False,1,Guanaco,1
51,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1327).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1327).JPG,2023-04-08,14:25:30,2.1412737e-10,0,,,False,1,Guanaco,1
52,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (24).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (24).JPG,2023-02-19,12:06:42,0.0,0,,,False,1,Guanaco,1
53,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1307).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1307).JPG,2023-04-07,12:43:56,3.0232772e-13,0,,,False,1,Guanaco,1
54,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (25).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (25).JPG,2023-02-19,12:08:15,0.0,0,,,False,1,Guanaco,1
55,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (68).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (68).JPG,2023-02-19,12:25:39,0.0,0,,,False,1,Guanaco,1
56,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (851).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (851).JPG,2023-02-19,19:48:37,6.385773e-30,0,,,False,1,Guanaco,1
57,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (276).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (276).JPG,2023-02-19,13:18:46,0.0,0,,,False,1,Guanaco,1
58,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1316).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1316).JPG,2023-04-07,16:12:17,3.3190176e-07,0,,,False,1,Guanaco,1
59,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2022/S18/1 - S18 - (2).JPG,Muestreo ct sauce,CT S 2022,S18,,1 - S18 - (2).JPG,2022-02-19,18:05:37,0.9999997,1,0.7771344,1.0,True,0,,
60,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2022/S18/1 - S18 - (7).JPG,Muestreo ct sauce,CT S 2022,S18,,1 - S18 - (7).JPG,2022-02-21,15:11:20,1.0,1,0.70429415,1.0,True,0,,
61,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2022/S15/IMG_1209.JPG,Muestreo ct sauce,CT S 2022,S15,,IMG_1209.JPG,2022-03-12,18:07:07,1.0,1,0.93242276,1.0,False,1,Guanaco,1
62,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2022/S15/IMG_1211.JPG,Muestreo ct sauce,CT S 2022,S15,,IMG_1211.JPG,2022-03-12,18:07:36,1.0,1,0.9274049,1.0,False,1,Guanaco,1
63,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_0301.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_0301.JPG,2020-02-21,19:23:06,0.9999941,1,0.8456798,1.0,True,0,,
64,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3357.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3357.JPG,2020-02-22,08:48:23,0.99986833,1,0.23180002,0.0,True,0,,
65,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_0321.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_0321.JPG,2020-02-21,19:59:38,0.99892014,1,0.8244444,1.0,True,0,,
66,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3362.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3362.JPG,2020-02-22,09:06:38,0.9999927,1,0.0028854941,0.0,True,0,,
67,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3317.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3317.JPG,2020-02-22,05:50:27,1.0,1,0.39591038,0.0,True,0,,
68,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/z-S16 (890).JPG,Muestreo ct sauce,CT S 2020,S16,,z-S16 (890).JPG,2020-02-29,20:27:16,0.99997646,1,0.46967646,0.0,True,0,,
69,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0836.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0836.JPG,2020-02-22,23:01:55,1.0,1,0.96951723,1.0,False,1,Guanaco,1
70,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0841.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0841.JPG,2020-02-22,23:07:48,0.99999976,1,0.70418555,1.0,True,0,,
71,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0866.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0866.JPG,2020-02-23,00:53:09,0.99994045,1,0.5569272,1.0,True,0,,
72,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/z-S16 (509).JPG,Muestreo ct sauce,CT S 2020,S16,,z-S16 (509).JPG,2020-02-27,20:05:13,0.99989355,1,0.29828766,0.0,True,0,,
73,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0746.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0746.JPG,2020-02-22,00:08:49,0.9999987,1,0.75422186,1.0,True,0,,
74,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (17).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (17).JPG,2020-02-07,08:29:38,1.0,1,0.97193027,1.0,False,1,Guanaco,1
75,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (21).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (21).JPG,2020-02-07,13:51:58,0.99513865,1,0.9488136,1.0,False,1,Guanaco,1
76,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (1).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (1).JPG,2020-02-09,14:47:11,0.9922831,1,0.9935647,1.0,False,1,Guanaco,1
77,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0011.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0011.JPG,2020-02-11,10:38:28,1.0,1,0.9682223,1.0,False,1,Guanaco,1
78,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (6).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (6).JPG,2020-02-05,20:47:14,0.99999934,1,0.6319681,1.0,True,0,,
79,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (11).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (11).JPG,2020-02-05,20:51:59,0.9999997,1,0.62247276,1.0,True,0,,
80,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (10).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (10).JPG,2020-02-05,20:51:56,0.9999992,1,0.63856184,1.0,True,0,,
81,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (7).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (7).JPG,2020-02-05,20:51:46,1.0,1,0.74649197,1.0,True,0,,
82,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (26).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (26).JPG,2020-02-09,12:47:43,0.9968003,1,0.97561496,1.0,False,1,Guanaco,1
83,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (4).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (4).JPG,2020-02-05,20:47:07,1.0,1,0.7284133,1.0,True,0,,
84,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (5).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (5).JPG,2020-02-05,20:47:11,0.9999995,1,0.6770362,1.0,True,0,,
85,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0022.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0022.JPG,2020-02-12,07:52:40,1.0,1,0.8855591,1.0,True,0,,
86,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (19).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (19).JPG,2020-02-07,13:51:53,0.9957729,1,0.9483203,1.0,False,1,Guanaco,1
87,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0023.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0023.JPG,2020-02-12,07:52:41,1.0,1,0.8661022,1.0,True,0,,
88,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (3).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (3).JPG,2020-02-05,20:46:19,1.0,1,0.8031037,1.0,True,0,,
89,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (18).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (18).JPG,2020-02-07,13:51:51,0.71525145,1,0.95801455,1.0,True,0,,
90,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0025.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0025.JPG,2020-02-12,07:52:45,1.0,1,0.81340045,1.0,True,0,,
91,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S6/z-S6 (17).JPG,Muestreo ct sauce,CT S 2020,S6,,z-S6 (17).JPG,2020-03-08,15:55:41,0.86879146,1,0.607696,1.0,True,0,,
92,/Users/anoguera/Documents/GitHub/RewildingPA/Interfaz de Usuario/imagenes_test/Muestreo ct sauce/CT S 2020/S9/IMG_0416.JPG,Muestreo ct sauce,CT S 2020,S9,,IMG_0416.JPG,2020-02-23,08:40:45,1.0,1,1.1877033e-06,0.0,True,0,,
