,Ruta,Sitio,Año,Camara,Extra,Archivo,Fecha,Hora,Animal_proba,Animal
33,imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (805).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (805).JPG,2021-04-21,17:12:54,1.0,1
34,imagenes_test/Muestreo ct Iberica/2021/IB1/0-IB1- (825).JPG,Muestreo ct Iberica,2021,IB1,,0-IB1- (825).JPG,2021-04-22,18:36:27,0.9250343,1
35,imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (963).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (963).JPG,2021-05-11,03:40:56,1.0,1
36,imagenes_test/Muestreo ct Iberica/2021/IB1/1-IB1- (932).JPG,Muestreo ct Iberica,2021,IB1,,1-IB1- (932).JPG,2021-05-10,15:29:46,0.008641082,0
37,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1293).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1293).JPG,2023-04-06,16:00:06,4.4189896e-10,0
38,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (275).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (275).JPG,2023-02-19,13:18:46,0.0,0
39,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (263).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (263).JPG,2023-02-19,13:15:23,0.0,0
40,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (9).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (9).JPG,2023-02-19,11:57:53,0.0,0
41,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2965).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2965).JPG,2023-02-25,11:37:44,0.0,0
42,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1342).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1342).JPG,2023-04-09,12:52:37,1.1768562e-13,0
43,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1289).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1289).JPG,2023-04-06,13:05:46,1.0903246e-11,0
44,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1309).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1309).JPG,2023-04-07,14:38:58,4.0512874e-11,0
45,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (316).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (316).JPG,2023-02-19,13:30:57,0.0,0
46,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (2888).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (2888).JPG,2023-02-25,11:02:39,0.0,0
47,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (862).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (862).JPG,2023-02-20,08:12:44,0.0,0
48,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (70).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (70).JPG,2023-02-19,12:26:02,0.0,0
49,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1294).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1294).JPG,2023-04-06,16:06:41,4.4361364e-12,0
50,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (317).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (317).JPG,2023-02-19,13:30:58,0.0,0
51,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1327).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1327).JPG,2023-04-08,14:25:30,2.1412737e-10,0
52,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (24).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (24).JPG,2023-02-19,12:06:42,0.0,0
53,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1307).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1307).JPG,2023-04-07,12:43:56,3.0232772e-13,0
54,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (25).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (25).JPG,2023-02-19,12:08:15,0.0,0
55,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (68).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (68).JPG,2023-02-19,12:25:39,0.0,0
56,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (851).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (851).JPG,2023-02-19,19:48:37,6.385773e-30,0
57,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-a- (276).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-a- (276).JPG,2023-02-19,13:18:46,0.0,0
58,imagenes_test/Muestreo ct sauce/CT S 2023/S4/S4-b- (1316).JPG,Muestreo ct sauce,CT S 2023,S4,,S4-b- (1316).JPG,2023-04-07,16:12:17,3.3190176e-07,0
59,imagenes_test/Muestreo ct sauce/CT S 2022/S18/1 - S18 - (2).JPG,Muestreo ct sauce,CT S 2022,S18,,1 - S18 - (2).JPG,2022-02-19,18:05:37,0.9999997,1
60,imagenes_test/Muestreo ct sauce/CT S 2022/S18/1 - S18 - (7).JPG,Muestreo ct sauce,CT S 2022,S18,,1 - S18 - (7).JPG,2022-02-21,15:11:20,1.0,1
61,imagenes_test/Muestreo ct sauce/CT S 2022/S15/IMG_1209.JPG,Muestreo ct sauce,CT S 2022,S15,,IMG_1209.JPG,2022-03-12,18:07:07,1.0,1
62,imagenes_test/Muestreo ct sauce/CT S 2022/S15/IMG_1211.JPG,Muestreo ct sauce,CT S 2022,S15,,IMG_1211.JPG,2022-03-12,18:07:36,1.0,1
63,imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_0301.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_0301.JPG,2020-02-21,19:23:06,0.9999941,1
64,imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3357.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3357.JPG,2020-02-22,08:48:23,0.99986833,1
65,imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_0321.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_0321.JPG,2020-02-21,19:59:38,0.99892014,1
66,imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3362.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3362.JPG,2020-02-22,09:06:38,0.9999927,1
67,imagenes_test/Muestreo ct sauce/CT S 2020/S17/IMG_3317.JPG,Muestreo ct sauce,CT S 2020,S17,,IMG_3317.JPG,2020-02-22,05:50:27,1.0,1
68,imagenes_test/Muestreo ct sauce/CT S 2020/S16/z-S16 (890).JPG,Muestreo ct sauce,CT S 2020,S16,,z-S16 (890).JPG,2020-02-29,20:27:16,0.99997646,1
69,imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0836.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0836.JPG,2020-02-22,23:01:55,1.0,1
70,imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0841.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0841.JPG,2020-02-22,23:07:48,0.99999976,1
71,imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0866.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0866.JPG,2020-02-23,00:53:09,0.99994045,1
72,imagenes_test/Muestreo ct sauce/CT S 2020/S16/z-S16 (509).JPG,Muestreo ct sauce,CT S 2020,S16,,z-S16 (509).JPG,2020-02-27,20:05:13,0.99989355,1
73,imagenes_test/Muestreo ct sauce/CT S 2020/S16/IMG_0746.JPG,Muestreo ct sauce,CT S 2020,S16,,IMG_0746.JPG,2020-02-22,00:08:49,0.9999987,1
74,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (17).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (17).JPG,2020-02-07,08:29:38,1.0,1
75,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (21).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (21).JPG,2020-02-07,13:51:58,0.99513865,1
76,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (1).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (1).JPG,2020-02-09,14:47:11,0.9922831,1
77,imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0011.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0011.JPG,2020-02-11,10:38:28,1.0,1
78,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (6).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (6).JPG,2020-02-05,20:47:14,0.99999934,1
79,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (11).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (11).JPG,2020-02-05,20:51:59,0.9999997,1
80,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (10).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (10).JPG,2020-02-05,20:51:56,0.9999992,1
81,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (7).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (7).JPG,2020-02-05,20:51:46,1.0,1
82,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (26).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (26).JPG,2020-02-09,12:47:43,0.9968003,1
83,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (4).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (4).JPG,2020-02-05,20:47:07,1.0,1
84,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (5).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (5).JPG,2020-02-05,20:47:11,0.9999995,1
85,imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0022.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0022.JPG,2020-02-12,07:52:40,1.0,1
86,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (19).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (19).JPG,2020-02-07,13:51:53,0.9957729,1
87,imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0023.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0023.JPG,2020-02-12,07:52:41,1.0,1
88,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (3).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (3).JPG,2020-02-05,20:46:19,1.0,1
89,imagenes_test/Muestreo ct sauce/CT S 2020/S1/0-S1- (18).JPG,Muestreo ct sauce,CT S 2020,S1,,0-S1- (18).JPG,2020-02-07,13:51:51,0.71525145,1
90,imagenes_test/Muestreo ct sauce/CT S 2020/S1/IMG_0025.JPG,Muestreo ct sauce,CT S 2020,S1,,IMG_0025.JPG,2020-02-12,07:52:45,1.0,1
91,imagenes_test/Muestreo ct sauce/CT S 2020/S6/z-S6 (17).JPG,Muestreo ct sauce,CT S 2020,S6,,z-S6 (17).JPG,2020-03-08,15:55:41,0.86879146,1
92,imagenes_test/Muestreo ct sauce/CT S 2020/S9/IMG_0416.JPG,Muestreo ct sauce,CT S 2020,S9,,IMG_0416.JPG,2020-02-23,08:40:45,1.0,1
93,imagenes_test/Muestreo ct sauce/CT S 2020/S14/S14 - (291).JPG,Muestreo ct sauce,CT S 2020,S14,,S14 - (291).JPG,2020-02-10,14:53:53,0.9991006,1
94,imagenes_test/Muestreo ct sauce/CT S 2020/S14/S14 - (294).JPG,Muestreo ct sauce,CT S 2020,S14,,S14 - (294).JPG,2020-02-10,14:53:59,0.99967366,1
95,imagenes_test/Muestreo ct sauce/CT S 2020/S15/S15 - (106).JPG,Muestreo ct sauce,CT S 2020,S15,,S15 - (106).JPG,2020-02-07,08:14:49,1.0,1
96,imagenes_test/Muestreo ct sauce/CT S 2020/S15/S15 - (111).JPG,Muestreo ct sauce,CT S 2020,S15,,S15 - (111).JPG,2020-02-07,21:42:40,1.0,1
97,imagenes_test/Muestreo ct sauce/CT S 2020/S15/S15 - (96).JPG,Muestreo ct sauce,CT S 2020,S15,,S15 - (96).JPG,2020-02-06,21:42:23,1.0,1
98,imagenes_test/Muestreo ct sauce/CT S 2020/S15/IMG_0191.JPG,Muestreo ct sauce,CT S 2020,S15,,IMG_0191.JPG,2020-02-15,21:57:56,0.99999994,1
99,imagenes_test/Muestreo ct sauce/CT S 2020/S15/IMG_0193.JPG,Muestreo ct sauce,CT S 2020,S15,,IMG_0193.JPG,2020-02-15,21:58:00,1.0,1
