file;category;confidence
S4-a- (1019).JPG;animal;0.911
S4-a- (1019).JPG;animal;0.922
S4-a- (1019).JPG;animal;0.946
S4-a- (1020).JPG;animal;0.918
S4-a- (1020).JPG;animal;0.923
S4-a- (1020).JPG;animal;0.947
S4-a- (1021).JPG;animal;0.0101
S4-a- (1021).JPG;animal;0.882
S4-a- (1021).JPG;animal;0.957
S4-a- (1021).JPG;animal;0.963
S4-a- (1022).JPG;animal;0.857
S4-a- (1022).JPG;animal;0.961
S4-a- (1022).JPG;animal;0.961
S4-a- (1023).JPG;animal;0.919
S4-a- (1023).JPG;animal;0.96
S4-a- (1023).JPG;animal;0.963
S4-a- (1024).JPG;animal;0.798
S4-a- (1024).JPG;animal;0.923
S4-a- (1024).JPG;animal;0.956
S4-a- (1025).JPG;animal;0.0228
S4-a- (1025).JPG;animal;0.528
S4-a- (1025).JPG;animal;0.924
S4-a- (1025).JPG;animal;0.947
S4-a- (1026).JPG;animal;0.0513
S4-a- (1026).JPG;animal;0.915
S4-a- (1026).JPG;animal;0.944
S4-a- (1027).JPG;animal;0.87
S4-a- (1027).JPG;animal;0.96
S4-a- (1028).JPG;animal;0.866
S4-a- (1028).JPG;animal;0.959
S4-a- (1029).JPG;animal;0.00829
S4-a- (1029).JPG;animal;0.862
S4-a- (1029).JPG;animal;0.959
S4-a- (103).JPG;animal;0.0139
S4-a- (1030).JPG;animal;0.802
S4-a- (1030).JPG;animal;0.954
S4-a- (1031).JPG;animal;0.784
S4-a- (1031).JPG;animal;0.954
S4-a- (1032).JPG;animal;0.805
S4-a- (1032).JPG;animal;0.943
S4-a- (1033).JPG;animal;0.0143
S4-a- (1033).JPG;animal;0.0161
S4-a- (1033).JPG;animal;0.0265
S4-a- (1033).JPG;animal;0.0413
S4-a- (1033).JPG;animal;0.0641
S4-a- (1033).JPG;animal;0.099
S4-a- (1033).JPG;animal;0.11
S4-a- (1033).JPG;animal;0.855
S4-a- (1034).JPG;animal;0.942
S4-a- (1035).JPG;animal;0.00857
S4-a- (1035).JPG;animal;0.0168
S4-a- (1035).JPG;animal;0.145
S4-a- (1035).JPG;animal;0.235
S4-a- (1035).JPG;animal;0.925
S4-a- (1036).JPG;animal;0.0146
S4-a- (1036).JPG;animal;0.935
S4-a- (1037).JPG;animal;0.0235
S4-a- (1037).JPG;animal;0.946
S4-a- (1038).JPG;animal;0.0226
S4-a- (1038).JPG;animal;0.945
S4-a- (1039).JPG;animal;0.0123
S4-a- (1039).JPG;animal;0.922
S4-a- (1040).JPG;animal;0.044
S4-a- (1040).JPG;animal;0.948
S4-a- (1041).JPG;animal;0.017
S4-a- (1041).JPG;animal;0.954
S4-a- (1042).JPG;animal;0.00956
S4-a- (1042).JPG;animal;0.967
S4-a- (1043).JPG;animal;0.968
S4-a- (1044).JPG;animal;0.965
S4-a- (1045).JPG;animal;0.964
S4-a- (1046).JPG;animal;0.965
S4-a- (1047).JPG;animal;0.962
S4-a- (1048).JPG;animal;0.968
S4-a- (1049).JPG;animal;0.967
S4-a- (1050).JPG;animal;0.955
S4-a- (1051).JPG;animal;0.947
S4-a- (1052).JPG;animal;0.945
S4-a- (1053).JPG;animal;0.947
S4-a- (1054).JPG;animal;0.964
S4-a- (1055).JPG;animal;0.963
S4-a- (1056).JPG;animal;0.961
S4-a- (1058).JPG;animal;0.00975
S4-a- (1059).JPG;animal;0.00725
S4-a- (1060).JPG;animal;0.971
S4-a- (1061).JPG;animal;0.0299
S4-a- (1061).JPG;animal;0.972
S4-a- (1062).JPG;animal;0.976
S4-a- (1063).JPG;animal;0.979
S4-a- (1064).JPG;animal;0.979
S4-a- (1065).JPG;animal;0.0126
S4-a- (1065).JPG;animal;0.15
S4-a- (1065).JPG;animal;0.973
S4-a- (1066).JPG;animal;0.961
S4-a- (1067).JPG;animal;0.961
S4-a- (1068).JPG;animal;0.961
S4-a- (1069).JPG;animal;0.0108
S4-a- (1069).JPG;animal;0.975
S4-a- (1070).JPG;animal;0.968
S4-a- (1071).JPG;animal;0.975
S4-a- (1072).JPG;animal;0.968
S4-a- (1073).JPG;animal;0.958
S4-a- (1074).JPG;animal;0.971
S4-a- (1075).JPG;animal;0.966
S4-a- (1076).JPG;animal;0.966
S4-a- (1077).JPG;animal;0.968
S4-a- (1078).JPG;animal;0.97
S4-a- (1079).JPG;animal;0.972
S4-a- (1080).JPG;animal;0.969
S4-a- (1081).JPG;animal;0.97
S4-a- (1082).JPG;animal;0.97
S4-a- (1083).JPG;animal;0.963
S4-a- (1084).JPG;animal;0.964
S4-a- (1085).JPG;animal;0.00503
S4-a- (1085).JPG;animal;0.00989
S4-a- (1085).JPG;animal;0.97
S4-a- (1086).JPG;animal;0.974
S4-a- (1087).JPG;animal;0.953
S4-a- (1088).JPG;animal;0.0248
S4-a- (1088).JPG;animal;0.919
S4-a- (1089).JPG;animal;0.00586
S4-a- (1089).JPG;animal;0.0082
S4-a- (1089).JPG;animal;0.0425
S4-a- (1093).JPG;animal;0.973
S4-a- (1094).JPG;animal;0.977
S4-a- (1101).JPG;animal;0.00758
S4-a- (1102).JPG;animal;0.0411
S4-a- (1107).JPG;animal;0.00572
S4-a- (1107).JPG;animal;0.00787
S4-a- (1108).JPG;animal;0.00574
S4-a- (1110).JPG;animal;0.00565
S4-a- (1111).JPG;animal;0.007
S4-a- (1111).JPG;animal;0.00919
S4-a- (1112).JPG;animal;0.00598
S4-a- (1114).JPG;animal;0.00715
S4-a- (1114).JPG;animal;0.0147
S4-a- (1115).JPG;animal;0.0153
S4-a- (1116).JPG;animal;0.00596
S4-a- (1120).JPG;animal;0.00554
S4-a- (1123).JPG;animal;0.0102
S4-a- (1124).JPG;animal;0.0074
S4-a- (1125).JPG;animal;0.00634
S4-a- (1126).JPG;animal;0.00549
S4-a- (1126).JPG;animal;0.00615
S4-a- (1126).JPG;animal;0.0133
S4-a- (1126).JPG;animal;0.0463
S4-a- (113).JPG;animal;0.00586
S4-a- (1132).JPG;animal;0.00645
S4-a- (1132).JPG;animal;0.0065
S4-a- (1133).JPG;animal;0.00936
S4-a- (1138).JPG;animal;0.00774
S4-a- (1142).JPG;animal;0.0353
S4-a- (1144).JPG;animal;0.0106
S4-a- (1145).JPG;animal;0.00662
S4-a- (1147).JPG;animal;0.0146
S4-a- (1150).JPG;animal;0.00555
S4-a- (1156).JPG;animal;0.00688
S4-a- (1156).JPG;animal;0.014
S4-a- (1157).JPG;animal;0.00514
S4-a- (1159).JPG;animal;0.0104
S4-a- (1160).JPG;animal;0.00754
S4-a- (1164).JPG;animal;0.00693
S4-a- (1165).JPG;animal;0.0342
S4-a- (1166).JPG;animal;0.00745
S4-a- (1169).JPG;animal;0.00545
S4-a- (1173).JPG;animal;0.00526
S4-a- (1175).JPG;animal;0.00756
S4-a- (1176).JPG;animal;0.00678
S4-a- (1177).JPG;animal;0.0166
S4-a- (1178).JPG;animal;0.00604
S4-a- (1179).JPG;animal;0.0276
S4-a- (1181).JPG;animal;0.0105
S4-a- (1186).JPG;animal;0.00996
S4-a- (1187).JPG;animal;0.00676
S4-a- (1188).JPG;animal;0.00532
S4-a- (1191).JPG;animal;0.00718
S4-a- (1194).JPG;animal;0.0623
S4-a- (1195).JPG;animal;0.00873
S4-a- (1196).JPG;animal;0.00933
S4-a- (1197).JPG;animal;0.0052
S4-a- (1200).JPG;animal;0.00622
S4-a- (1202).JPG;animal;0.00853
S4-a- (1203).JPG;animal;0.0157
S4-a- (1204).JPG;animal;0.00718
S4-a- (1206).JPG;animal;0.0107
S4-a- (1206).JPG;animal;0.0183
S4-a- (1207).JPG;animal;0.00627
S4-a- (1208).JPG;animal;0.00833
S4-a- (121).JPG;animal;0.00711
S4-a- (121).JPG;animal;0.00958
S4-a- (121).JPG;animal;0.0111
S4-a- (121).JPG;animal;0.025
S4-a- (1211).JPG;animal;0.0194
S4-a- (1212).JPG;animal;0.00824
S4-a- (1214).JPG;animal;0.00624
S4-a- (1214).JPG;animal;0.0173
S4-a- (1214).JPG;animal;0.0248
S4-a- (1215).JPG;animal;0.0065
S4-a- (1215).JPG;animal;0.0352
S4-a- (1219).JPG;animal;0.00865
S4-a- (122).JPG;animal;0.00611
S4-a- (122).JPG;animal;0.0138
S4-a- (1222).JPG;animal;0.00508
S4-a- (1223).JPG;animal;0.014
S4-a- (1224).JPG;animal;0.00612
S4-a- (1228).JPG;animal;0.0196
S4-a- (1228).JPG;animal;0.209
S4-a- (1229).JPG;animal;0.00555
S4-a- (123).JPG;animal;0.0138
S4-a- (1231).JPG;animal;0.00679
S4-a- (1231).JPG;animal;0.628
S4-a- (1233).JPG;animal;0.0168
S4-a- (1233).JPG;animal;0.775
S4-a- (1235).JPG;animal;0.00504
S4-a- (1236).JPG;animal;0.00919
S4-a- (1237).JPG;animal;0.00502
S4-a- (1238).JPG;animal;0.00663
S4-a- (1239).JPG;animal;0.016
S4-a- (124).JPG;animal;0.00901
S4-a- (124).JPG;animal;0.00993
S4-a- (1242).JPG;animal;0.0107
S4-a- (1242).JPG;animal;0.153
S4-a- (1244).JPG;animal;0.00557
S4-a- (1245).JPG;animal;0.0168
S4-a- (1245).JPG;animal;0.0232
S4-a- (1247).JPG;animal;0.00508
S4-a- (1249).JPG;animal;0.0118
S4-a- (125).JPG;animal;0.00525
S4-a- (125).JPG;animal;0.00907
S4-a- (125).JPG;animal;0.0115
S4-a- (1250).JPG;animal;0.00811
S4-a- (1250).JPG;animal;0.00976
S4-a- (1251).JPG;animal;0.00678
S4-a- (1251).JPG;animal;0.0241
S4-a- (1252).JPG;animal;0.00532
S4-a- (1252).JPG;animal;0.0141
S4-a- (1252).JPG;animal;0.0185
S4-a- (1252).JPG;animal;0.102
S4-a- (1253).JPG;animal;0.00504
S4-a- (1253).JPG;animal;0.00957
S4-a- (1253).JPG;animal;0.0585
S4-a- (1254).JPG;animal;0.0108
S4-a- (1254).JPG;animal;0.0964
S4-a- (1257).JPG;animal;0.019
S4-a- (1258).JPG;animal;0.00671
S4-a- (1258).JPG;animal;0.0871
S4-a- (1258).JPG;animal;0.722
S4-a- (1259).JPG;animal;0.00565
S4-a- (1259).JPG;animal;0.0118
S4-a- (1259).JPG;animal;0.0581
S4-a- (1259).JPG;animal;0.894
S4-a- (126).JPG;animal;0.0077
S4-a- (126).JPG;animal;0.016
S4-a- (1260).JPG;animal;0.0169
S4-a- (1260).JPG;animal;0.032
S4-a- (1260).JPG;animal;0.874
S4-a- (1261).JPG;animal;0.0105
S4-a- (1261).JPG;animal;0.0136
S4-a- (1261).JPG;animal;0.762
S4-a- (1261).JPG;animal;0.935
S4-a- (1261).JPG;animal;0.952
S4-a- (1262).JPG;animal;0.00707
S4-a- (1262).JPG;animal;0.0103
S4-a- (1262).JPG;animal;0.673
S4-a- (1262).JPG;animal;0.928
S4-a- (1262).JPG;animal;0.943
S4-a- (1263).JPG;animal;0.0059
S4-a- (1263).JPG;animal;0.00871
S4-a- (1263).JPG;animal;0.586
S4-a- (1263).JPG;animal;0.928
S4-a- (1263).JPG;animal;0.95
S4-a- (1264).JPG;animal;0.00542
S4-a- (1264).JPG;animal;0.00544
S4-a- (1264).JPG;animal;0.877
S4-a- (1264).JPG;animal;0.914
S4-a- (1264).JPG;animal;0.955
S4-a- (1265).JPG;animal;0.0105
S4-a- (1265).JPG;animal;0.873
S4-a- (1265).JPG;animal;0.912
S4-a- (1265).JPG;animal;0.953
S4-a- (1266).JPG;animal;0.0147
S4-a- (1266).JPG;animal;0.859
S4-a- (1266).JPG;animal;0.916
S4-a- (1266).JPG;animal;0.955
S4-a- (1267).JPG;animal;0.0165
S4-a- (1267).JPG;animal;0.872
S4-a- (1267).JPG;animal;0.91
S4-a- (1267).JPG;animal;0.97
S4-a- (1268).JPG;animal;0.882
S4-a- (1268).JPG;animal;0.908
S4-a- (1268).JPG;animal;0.967
S4-a- (1269).JPG;animal;0.877
S4-a- (1269).JPG;animal;0.909
S4-a- (1269).JPG;animal;0.968
S4-a- (1270).JPG;animal;0.0221
S4-a- (1270).JPG;animal;0.0709
S4-a- (1270).JPG;animal;0.837
S4-a- (1270).JPG;animal;0.952
S4-a- (1270).JPG;animal;0.954
S4-a- (1271).JPG;animal;0.0652
S4-a- (1271).JPG;animal;0.0674
S4-a- (1271).JPG;animal;0.862
S4-a- (1271).JPG;animal;0.951
S4-a- (1271).JPG;animal;0.956
S4-a- (1272).JPG;animal;0.0136
S4-a- (1272).JPG;animal;0.0148
S4-a- (1272).JPG;animal;0.0748
S4-a- (1272).JPG;animal;0.873
S4-a- (1272).JPG;animal;0.944
S4-a- (1272).JPG;animal;0.955
S4-a- (1273).JPG;animal;0.104
S4-a- (1273).JPG;animal;0.927
S4-a- (1273).JPG;animal;0.96
S4-a- (1274).JPG;animal;0.336
S4-a- (1274).JPG;animal;0.946
S4-a- (1274).JPG;animal;0.963
S4-a- (1275).JPG;animal;0.28
S4-a- (1275).JPG;animal;0.952
S4-a- (1275).JPG;animal;0.963
S4-a- (1276).JPG;animal;0.00589
S4-a- (1276).JPG;animal;0.0191
S4-a- (1276).JPG;animal;0.945
S4-a- (1276).JPG;animal;0.956
S4-a- (1277).JPG;animal;0.0084
S4-a- (1277).JPG;animal;0.0137
S4-a- (1277).JPG;animal;0.947
S4-a- (1277).JPG;animal;0.955
S4-a- (1278).JPG;animal;0.00558
S4-a- (1278).JPG;animal;0.00933
S4-a- (1278).JPG;animal;0.0196
S4-a- (1278).JPG;animal;0.949
S4-a- (1278).JPG;animal;0.956
S4-a- (1279).JPG;animal;0.944
S4-a- (1279).JPG;animal;0.957
S4-a- (128).JPG;animal;0.00832
S4-a- (1280).JPG;animal;0.936
S4-a- (1280).JPG;animal;0.955
S4-a- (1281).JPG;animal;0.954
S4-a- (1281).JPG;animal;0.954
S4-a- (1282).JPG;animal;0.957
S4-a- (1282).JPG;animal;0.959
S4-a- (1283).JPG;animal;0.956
S4-a- (1283).JPG;animal;0.961
S4-a- (1284).JPG;animal;0.95
S4-a- (1284).JPG;animal;0.961
S4-a- (1285).JPG;animal;0.00831
S4-a- (1285).JPG;animal;0.00911
S4-a- (1285).JPG;animal;0.0259
S4-a- (1285).JPG;animal;0.0328
S4-a- (1285).JPG;animal;0.118
S4-a- (1285).JPG;animal;0.902
S4-a- (1285).JPG;animal;0.932
S4-a- (1285).JPG;animal;0.94
S4-a- (1286).JPG;animal;0.0064
S4-a- (1286).JPG;animal;0.0119
S4-a- (1286).JPG;animal;0.0158
S4-a- (1286).JPG;animal;0.0253
S4-a- (1286).JPG;animal;0.128
S4-a- (1286).JPG;animal;0.556
S4-a- (1286).JPG;animal;0.919
S4-a- (1286).JPG;animal;0.939
S4-a- (1286).JPG;animal;0.945
S4-a- (1287).JPG;animal;0.00918
S4-a- (1287).JPG;animal;0.0132
S4-a- (1287).JPG;animal;0.0146
S4-a- (1287).JPG;animal;0.0165
S4-a- (1287).JPG;animal;0.0199
S4-a- (1287).JPG;animal;0.118
S4-a- (1287).JPG;animal;0.912
S4-a- (1287).JPG;animal;0.94
S4-a- (1287).JPG;animal;0.944
S4-a- (1288).JPG;animal;0.00667
S4-a- (1288).JPG;animal;0.0087
S4-a- (1288).JPG;animal;0.0133
S4-a- (1288).JPG;animal;0.0371
S4-a- (1288).JPG;animal;0.876
S4-a- (1288).JPG;animal;0.939
S4-a- (1288).JPG;animal;0.963
S4-a- (1289).JPG;animal;0.0113
S4-a- (1289).JPG;animal;0.0125
S4-a- (1289).JPG;animal;0.0181
S4-a- (1289).JPG;animal;0.855
S4-a- (1289).JPG;animal;0.943
S4-a- (1289).JPG;animal;0.959
S4-a- (1290).JPG;animal;0.0085
S4-a- (1290).JPG;animal;0.0337
S4-a- (1290).JPG;animal;0.041
S4-a- (1290).JPG;animal;0.866
S4-a- (1290).JPG;animal;0.931
S4-a- (1290).JPG;animal;0.953
S4-a- (1291).JPG;animal;0.803
S4-a- (1291).JPG;animal;0.961
S4-a- (1292).JPG;animal;0.234
S4-a- (1292).JPG;animal;0.752
S4-a- (1292).JPG;animal;0.963
S4-a- (1293).JPG;animal;0.00542
S4-a- (1293).JPG;animal;0.0057
S4-a- (1293).JPG;animal;0.00835
S4-a- (1293).JPG;animal;0.0576
S4-a- (1293).JPG;animal;0.361
S4-a- (1293).JPG;animal;0.691
S4-a- (1293).JPG;animal;0.964
S4-a- (1294).JPG;animal;0.797
S4-a- (1294).JPG;animal;0.906
S4-a- (1294).JPG;animal;0.942
S4-a- (1295).JPG;animal;0.00869
S4-a- (1295).JPG;animal;0.789
S4-a- (1295).JPG;animal;0.908
S4-a- (1295).JPG;animal;0.939
S4-a- (1296).JPG;animal;0.769
S4-a- (1296).JPG;animal;0.915
S4-a- (1296).JPG;animal;0.935
S4-a- (1297).JPG;animal;0.718
S4-a- (1297).JPG;animal;0.957
S4-a- (1297).JPG;animal;0.962
S4-a- (1298).JPG;animal;0.0154
S4-a- (1298).JPG;animal;0.747
S4-a- (1298).JPG;animal;0.954
S4-a- (1298).JPG;animal;0.961
S4-a- (1299).JPG;animal;0.788
S4-a- (1299).JPG;animal;0.928
S4-a- (1299).JPG;animal;0.963
S4-a- (1300).JPG;animal;0.0173
S4-a- (1300).JPG;animal;0.844
S4-a- (1300).JPG;animal;0.96
S4-a- (1301).JPG;animal;0.877
S4-a- (1301).JPG;animal;0.962
S4-a- (1302).JPG;animal;0.879
S4-a- (1302).JPG;animal;0.96
S4-a- (1303).JPG;animal;0.879
S4-a- (1303).JPG;animal;0.959
S4-a- (1304).JPG;animal;0.84
S4-a- (1304).JPG;animal;0.96
S4-a- (1305).JPG;animal;0.853
S4-a- (1305).JPG;animal;0.959
S4-a- (1306).JPG;animal;0.0059
S4-a- (1306).JPG;animal;0.00999
S4-a- (1306).JPG;animal;0.0896
S4-a- (1306).JPG;animal;0.847
S4-a- (1306).JPG;animal;0.848
S4-a- (1306).JPG;animal;0.959
S4-a- (1307).JPG;animal;0.00947
S4-a- (1307).JPG;animal;0.17
S4-a- (1307).JPG;animal;0.845
S4-a- (1307).JPG;animal;0.869
S4-a- (1307).JPG;animal;0.953
S4-a- (1308).JPG;animal;0.00638
S4-a- (1308).JPG;animal;0.137
S4-a- (1308).JPG;animal;0.843
S4-a- (1308).JPG;animal;0.852
S4-a- (1308).JPG;animal;0.958
S4-a- (1309).JPG;animal;0.005
S4-a- (1309).JPG;animal;0.00993
S4-a- (1309).JPG;animal;0.0338
S4-a- (1309).JPG;animal;0.826
S4-a- (1309).JPG;animal;0.852
S4-a- (1309).JPG;animal;0.952
S4-a- (1310).JPG;animal;0.0156
S4-a- (1310).JPG;animal;0.0174
S4-a- (1310).JPG;animal;0.0175
S4-a- (1310).JPG;animal;0.841
S4-a- (1310).JPG;animal;0.883
S4-a- (1310).JPG;animal;0.962
S4-a- (1311).JPG;animal;0.00589
S4-a- (1311).JPG;animal;0.00889
S4-a- (1311).JPG;animal;0.0204
S4-a- (1311).JPG;animal;0.0379
S4-a- (1311).JPG;animal;0.857
S4-a- (1311).JPG;animal;0.891
S4-a- (1311).JPG;animal;0.958
S4-a- (1312).JPG;animal;0.0188
S4-a- (1312).JPG;animal;0.772
S4-a- (1312).JPG;animal;0.908
S4-a- (1312).JPG;animal;0.929
S4-a- (1313).JPG;animal;0.00708
S4-a- (1313).JPG;animal;0.0074
S4-a- (1313).JPG;animal;0.765
S4-a- (1313).JPG;animal;0.897
S4-a- (1313).JPG;animal;0.936
S4-a- (1314).JPG;animal;0.0244
S4-a- (1314).JPG;animal;0.764
S4-a- (1314).JPG;animal;0.867
S4-a- (1314).JPG;animal;0.951
S4-a- (1315).JPG;animal;0.0126
S4-a- (1315).JPG;animal;0.0224
S4-a- (1315).JPG;animal;0.83
S4-a- (1315).JPG;animal;0.889
S4-a- (1315).JPG;animal;0.925
S4-a- (1316).JPG;animal;0.0414
S4-a- (1316).JPG;animal;0.062
S4-a- (1316).JPG;animal;0.809
S4-a- (1316).JPG;animal;0.877
S4-a- (1316).JPG;animal;0.928
S4-a- (1317).JPG;animal;0.0367
S4-a- (1317).JPG;animal;0.115
S4-a- (1317).JPG;animal;0.84
S4-a- (1317).JPG;animal;0.847
S4-a- (1317).JPG;animal;0.94
S4-a- (1318).JPG;animal;0.00944
S4-a- (1318).JPG;animal;0.0108
S4-a- (1318).JPG;animal;0.025
S4-a- (1318).JPG;animal;0.474
S4-a- (1318).JPG;animal;0.942
S4-a- (1318).JPG;animal;0.958
S4-a- (1319).JPG;animal;0.0142
S4-a- (1319).JPG;animal;0.0484
S4-a- (1319).JPG;animal;0.567
S4-a- (1319).JPG;animal;0.941
S4-a- (1319).JPG;animal;0.955
S4-a- (1320).JPG;animal;0.0152
S4-a- (1320).JPG;animal;0.0317
S4-a- (1320).JPG;animal;0.0598
S4-a- (1320).JPG;animal;0.543
S4-a- (1320).JPG;animal;0.943
S4-a- (1320).JPG;animal;0.961
S4-a- (1321).JPG;animal;0.0134
S4-a- (1321).JPG;animal;0.836
S4-a- (1321).JPG;animal;0.933
S4-a- (1321).JPG;animal;0.953
S4-a- (1322).JPG;animal;0.00615
S4-a- (1322).JPG;animal;0.00959
S4-a- (1322).JPG;animal;0.0117
S4-a- (1322).JPG;animal;0.865
S4-a- (1322).JPG;animal;0.924
S4-a- (1322).JPG;animal;0.958
S4-a- (1323).JPG;animal;0.0055
S4-a- (1323).JPG;animal;0.0228
S4-a- (1323).JPG;animal;0.025
S4-a- (1323).JPG;animal;0.0363
S4-a- (1323).JPG;animal;0.853
S4-a- (1323).JPG;animal;0.922
S4-a- (1323).JPG;animal;0.954
S4-a- (1324).JPG;animal;0.0294
S4-a- (1324).JPG;animal;0.716
S4-a- (1324).JPG;animal;0.9
S4-a- (1324).JPG;animal;0.916
S4-a- (1325).JPG;animal;0.00515
S4-a- (1325).JPG;animal;0.00591
S4-a- (1325).JPG;animal;0.0104
S4-a- (1325).JPG;animal;0.016
S4-a- (1325).JPG;animal;0.0343
S4-a- (1325).JPG;animal;0.693
S4-a- (1325).JPG;animal;0.771
S4-a- (1325).JPG;animal;0.917
S4-a- (1326).JPG;animal;0.00652
S4-a- (1326).JPG;animal;0.0129
S4-a- (1326).JPG;animal;0.558
S4-a- (1326).JPG;animal;0.698
S4-a- (1326).JPG;animal;0.931
S4-a- (1327).JPG;animal;0.0557
S4-a- (1327).JPG;animal;0.859
S4-a- (1327).JPG;animal;0.947
S4-a- (1328).JPG;animal;0.0105
S4-a- (1328).JPG;animal;0.0182
S4-a- (1328).JPG;animal;0.864
S4-a- (1328).JPG;animal;0.933
S4-a- (1329).JPG;animal;0.876
S4-a- (1329).JPG;animal;0.931
S4-a- (1330).JPG;animal;0.00938
S4-a- (1330).JPG;animal;0.944
S4-a- (1330).JPG;animal;0.954
S4-a- (1331).JPG;animal;0.026
S4-a- (1331).JPG;animal;0.943
S4-a- (1331).JPG;animal;0.962
S4-a- (1332).JPG;animal;0.0152
S4-a- (1332).JPG;animal;0.936
S4-a- (1332).JPG;animal;0.936
S4-a- (1333).JPG;animal;0.0116
S4-a- (1333).JPG;animal;0.944
S4-a- (1333).JPG;animal;0.952
S4-a- (1334).JPG;animal;0.941
S4-a- (1334).JPG;animal;0.955
S4-a- (1335).JPG;animal;0.934
S4-a- (1335).JPG;animal;0.957
S4-a- (1336).JPG;animal;0.895
S4-a- (1336).JPG;animal;0.964
S4-a- (1337).JPG;animal;0.893
S4-a- (1337).JPG;animal;0.964
S4-a- (1338).JPG;animal;0.00569
S4-a- (1338).JPG;animal;0.882
S4-a- (1338).JPG;animal;0.962
S4-a- (1339).JPG;animal;0.005
S4-a- (1339).JPG;animal;0.0176
S4-a- (1339).JPG;animal;0.0524
S4-a- (1339).JPG;animal;0.724
S4-a- (1339).JPG;animal;0.969
S4-a- (1340).JPG;animal;0.00634
S4-a- (1340).JPG;animal;0.00707
S4-a- (1340).JPG;animal;0.00784
S4-a- (1340).JPG;animal;0.742
S4-a- (1340).JPG;animal;0.966
S4-a- (1341).JPG;animal;0.824
S4-a- (1341).JPG;animal;0.971
S4-a- (1342).JPG;animal;0.569
S4-a- (1342).JPG;animal;0.871
S4-a- (1343).JPG;animal;0.0122
S4-a- (1343).JPG;animal;0.702
S4-a- (1343).JPG;animal;0.929
S4-a- (1344).JPG;animal;0.665
S4-a- (1344).JPG;animal;0.928
S4-a- (1345).JPG;animal;0.594
S4-a- (1345).JPG;animal;0.944
S4-a- (1346).JPG;animal;0.00524
S4-a- (1346).JPG;animal;0.00638
S4-a- (1346).JPG;animal;0.63
S4-a- (1346).JPG;animal;0.948
S4-a- (1347).JPG;animal;0.755
S4-a- (1347).JPG;animal;0.941
S4-a- (1348).JPG;animal;0.00514
S4-a- (1348).JPG;animal;0.933
S4-a- (1348).JPG;animal;0.949
S4-a- (1349).JPG;animal;0.0185
S4-a- (1349).JPG;animal;0.937
S4-a- (1349).JPG;animal;0.95
S4-a- (1350).JPG;animal;0.00508
S4-a- (1350).JPG;animal;0.94
S4-a- (1350).JPG;animal;0.953
S4-a- (1351).JPG;animal;0.00609
S4-a- (1351).JPG;animal;0.0132
S4-a- (1351).JPG;animal;0.881
S4-a- (1351).JPG;animal;0.895
S4-a- (1351).JPG;animal;0.933
S4-a- (1352).JPG;animal;0.00504
S4-a- (1352).JPG;animal;0.0134
