,Sitio,Año,Camara,Especie,Cantidad,Nombre,Fecha,Hora,Ruta,existe,Rota,esta
30,Sauce,2020,S1,guanaco,4.0,0-S1- (33).JPG,2020-02-09,12:54,Muestreo ct sauce/CT S 2020/S1/0-S1- (33).JPG,True,False,True
31,Sauce,2020,S1,guanaco,4.0,0-S1- (34).JPG,2020-02-09,12:59,Muestreo ct sauce/CT S 2020/S1/0-S1- (34).JPG,True,False,True
32,Sauce,2020,S1,guanaco,3.0,0-S1- (35).JPG,2020-02-09,12:59,Muestreo ct sauce/CT S 2020/S1/0-S1- (35).JPG,True,False,True
33,Sauce,2020,S1,guanaco,3.0,0-S1- (36).JPG,2020-02-09,12:59,Muestreo ct sauce/CT S 2020/S1/0-S1- (36).JPG,True,False,True
34,Sauce,2020,S1,guanaco,3.0,0-S1- (37).JPG,2020-02-09,12:59,Muestreo ct sauce/CT S 2020/S1/0-S1- (37).JPG,True,False,True
35,Sauce,2020,S1,guanaco,3.0,0-S1- (38).JPG,2020-02-09,12:59,Muestreo ct sauce/CT S 2020/S1/0-S1- (38).JPG,True,False,True
36,Sauce,2020,S1,guanaco,1.0,0-S1- (39).JPG,2020-02-09,14:23,Muestreo ct sauce/CT S 2020/S1/0-S1- (39).JPG,True,False,True
37,Sauce,2020,S1,guanaco,1.0,0-S1- (40).JPG,2020-02-09,14:23,Muestreo ct sauce/CT S 2020/S1/0-S1- (40).JPG,True,False,True
38,Sauce,2020,S1,guanaco,1.0,0-S1- (41).JPG,2020-02-09,14:23,Muestreo ct sauce/CT S 2020/S1/0-S1- (41).JPG,True,False,True
39,Sauce,2020,S1,guanaco,1.0,0-S1- (42).JPG,2020-02-09,14:23,Muestreo ct sauce/CT S 2020/S1/0-S1- (42).JPG,True,False,True
40,Sauce,2020,S1,guanaco,1.0,0-S1- (43).JPG,2020-02-09,14:23,Muestreo ct sauce/CT S 2020/S1/0-S1- (43).JPG,True,False,True
41,Sauce,2020,S1,guanaco,1.0,0-S1- (44).JPG,2020-02-09,14:33,Muestreo ct sauce/CT S 2020/S1/0-S1- (44).JPG,True,False,True
42,Sauce,2020,S1,guanaco,1.0,0-S1- (45).JPG,2020-02-09,14:33,Muestreo ct sauce/CT S 2020/S1/0-S1- (45).JPG,True,False,True
43,Sauce,2020,S1,guanaco,1.0,0-S1- (46).JPG,2020-02-09,14:33,Muestreo ct sauce/CT S 2020/S1/0-S1- (46).JPG,True,False,True
44,Sauce,2020,S1,guanaco,1.0,0-S1- (47).JPG,2020-02-09,14:33,Muestreo ct sauce/CT S 2020/S1/0-S1- (47).JPG,True,False,True
45,Sauce,2020,S1,guanaco,1.0,0-S1- (48).JPG,2020-02-09,14:33,Muestreo ct sauce/CT S 2020/S1/0-S1- (48).JPG,True,False,True
46,Sauce,2020,S1,guanaco,3.0,0-S1- (49).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (49).JPG,True,False,True
47,Sauce,2020,S1,guanaco,3.0,0-S1- (50).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (50).JPG,True,False,True
48,Sauce,2020,S1,guanaco,3.0,0-S1- (51).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (51).JPG,True,False,True
49,Sauce,2020,S1,guanaco,3.0,0-S1- (52).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (52).JPG,True,False,True
50,Sauce,2020,S1,guanaco,3.0,0-S1- (53).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (53).JPG,True,False,True
51,Sauce,2020,S1,guanaco,3.0,0-S1- (54).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (54).JPG,True,False,True
52,Sauce,2020,S1,guanaco,3.0,0-S1- (55).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (55).JPG,True,False,True
53,Sauce,2020,S1,guanaco,3.0,0-S1- (56).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (56).JPG,True,False,True
54,Sauce,2020,S1,guanaco,3.0,0-S1- (57).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (57).JPG,True,False,True
55,Sauce,2020,S1,guanaco,3.0,0-S1- (58).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (58).JPG,True,False,True
56,Sauce,2020,S1,guanaco,2.0,0-S1- (59).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (59).JPG,True,False,True
57,Sauce,2020,S1,guanaco,2.0,0-S1- (60).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (60).JPG,True,False,True
58,Sauce,2020,S1,guanaco,2.0,0-S1- (61).JPG,2020-02-09,14:44,Muestreo ct sauce/CT S 2020/S1/0-S1- (61).JPG,True,False,True
59,Sauce,2020,S1,guanaco,2.0,0-S1- (62).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (62).JPG,True,False,True
60,Sauce,2020,S1,guanaco,2.0,0-S1- (63).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (63).JPG,True,False,True
61,Sauce,2020,S1,guanaco,2.0,0-S1- (64).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (64).JPG,True,False,True
62,Sauce,2020,S1,guanaco,2.0,0-S1- (65).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (65).JPG,True,False,True
63,Sauce,2020,S1,guanaco,2.0,0-S1- (66).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (66).JPG,True,False,True
64,Sauce,2020,S1,guanaco,2.0,0-S1- (67).JPG,2020-02-09,14:45,Muestreo ct sauce/CT S 2020/S1/0-S1- (67).JPG,True,False,True
65,Sauce,2020,S1,guanaco,1.0,0-S1- (68).JPG,2020-02-09,14:46,Muestreo ct sauce/CT S 2020/S1/0-S1- (68).JPG,True,False,True
66,Sauce,2020,S1,guanaco,1.0,0-S1- (69).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (69).JPG,True,False,True
67,Sauce,2020,S1,guanaco,1.0,0-S1- (70).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (70).JPG,True,False,True
68,Sauce,2020,S1,guanaco,1.0,0-S1- (71).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (71).JPG,True,False,True
69,Sauce,2020,S1,guanaco,2.0,0-S1- (72).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (72).JPG,True,False,True
70,Sauce,2020,S1,guanaco,2.0,0-S1- (73).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (73).JPG,True,False,True
71,Sauce,2020,S1,guanaco,2.0,0-S1- (74).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (74).JPG,True,False,True
72,Sauce,2020,S1,guanaco,2.0,0-S1- (75).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (75).JPG,True,False,True
73,Sauce,2020,S1,guanaco,2.0,0-S1- (1).JPG,2020-02-09,14:47,Muestreo ct sauce/CT S 2020/S1/0-S1- (1).JPG,True,False,True
74,Sauce,2020,S1,guanaco,1.0,IMG_0001.JPG,2020-02-11,10:12,Muestreo ct sauce/CT S 2020/S1/IMG_0001.JPG,True,True,True
75,Sauce,2020,S1,guanaco,1.0,IMG_0005.JPG,2020-02-11,10:12,Muestreo ct sauce/CT S 2020/S1/IMG_0005.JPG,True,False,True
76,Sauce,2020,S1,guanaco,1.0,IMG_0006.JPG,2020-02-11,10:13,Muestreo ct sauce/CT S 2020/S1/IMG_0006.JPG,True,False,True
77,Sauce,2020,S1,guanaco,1.0,IMG_0011.JPG,2020-02-11,10:38,Muestreo ct sauce/CT S 2020/S1/IMG_0011.JPG,True,False,True
78,Sauce,2020,S1,guanaco,1.0,IMG_0012.JPG,2020-02-11,10:38,Muestreo ct sauce/CT S 2020/S1/IMG_0012.JPG,True,False,True
79,Sauce,2020,S1,guanaco,1.0,IMG_0013.JPG,2020-02-11,10:38,Muestreo ct sauce/CT S 2020/S1/IMG_0013.JPG,True,False,True
80,Sauce,2020,S1,guanaco,1.0,IMG_0014.JPG,2020-02-11,10:38,Muestreo ct sauce/CT S 2020/S1/IMG_0014.JPG,True,False,True
81,Sauce,2020,S1,guanaco,3.0,IMG_0021.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0021.JPG,True,False,True
82,Sauce,2020,S1,guanaco,3.0,IMG_0022.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0022.JPG,True,False,True
83,Sauce,2020,S1,guanaco,3.0,IMG_0023.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0023.JPG,True,False,True
84,Sauce,2020,S1,guanaco,3.0,IMG_0024.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0024.JPG,True,False,True
85,Sauce,2020,S1,guanaco,3.0,IMG_0025.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0025.JPG,True,False,True
86,Sauce,2020,S1,guanaco,3.0,IMG_0026.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0026.JPG,True,False,True
87,Sauce,2020,S1,guanaco,3.0,IMG_0027.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0027.JPG,True,False,True
88,Sauce,2020,S1,guanaco,3.0,IMG_0028.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0028.JPG,True,False,True
89,Sauce,2020,S1,guanaco,3.0,IMG_0029.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0029.JPG,True,False,True
90,Sauce,2020,S1,guanaco,3.0,IMG_0030.JPG,2020-02-12,07:52,Muestreo ct sauce/CT S 2020/S1/IMG_0030.JPG,True,True,True
91,Sauce,2020,S1,guanaco,3.0,IMG_0031.JPG,2020-02-12,07:53,Muestreo ct sauce/CT S 2020/S1/IMG_0031.JPG,True,False,True
92,Sauce,2020,S1,guanaco,3.0,IMG_0032.JPG,2020-02-12,07:53,Muestreo ct sauce/CT S 2020/S1/IMG_0032.JPG,True,True,True
93,Sauce,2020,S1,guanaco,3.0,IMG_0033.JPG,2020-02-12,07:53,Muestreo ct sauce/CT S 2020/S1/IMG_0033.JPG,True,False,True
94,Sauce,2020,S1,guanaco,2.0,IMG_0034.JPG,2020-02-12,07:53,Muestreo ct sauce/CT S 2020/S1/IMG_0034.JPG,True,False,True
95,Sauce,2020,S1,guanaco,2.0,IMG_0035.JPG,2020-02-12,07:53,Muestreo ct sauce/CT S 2020/S1/IMG_0035.JPG,True,False,True
96,Sauce,2020,S1,guanaco,2.0,IMG_0036.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0036.JPG,True,False,True
97,Sauce,2020,S1,guanaco,2.0,IMG_0037.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0037.JPG,True,False,True
98,Sauce,2020,S1,guanaco,2.0,IMG_0038.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0038.JPG,True,False,True
99,Sauce,2020,S1,guanaco,2.0,IMG_0039.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0039.JPG,True,False,True
100,Sauce,2020,S1,guanaco,2.0,IMG_0040.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0040.JPG,True,False,True
101,Sauce,2020,S1,guanaco,2.0,IMG_0041.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0041.JPG,True,False,True
102,Sauce,2020,S1,guanaco,2.0,IMG_0042.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0042.JPG,True,False,True
103,Sauce,2020,S1,guanaco,2.0,IMG_0043.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0043.JPG,True,False,True
104,Sauce,2020,S1,guanaco,2.0,IMG_0044.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0044.JPG,True,False,True
105,Sauce,2020,S1,guanaco,2.0,IMG_0045.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0045.JPG,True,False,True
106,Sauce,2020,S1,guanaco,2.0,IMG_0046.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0046.JPG,True,False,True
107,Sauce,2020,S1,guanaco,2.0,IMG_0047.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0047.JPG,True,False,True
108,Sauce,2020,S1,guanaco,2.0,IMG_0048.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0048.JPG,True,False,True
109,Sauce,2020,S1,guanaco,2.0,IMG_0049.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0049.JPG,True,False,True
110,Sauce,2020,S1,guanaco,2.0,IMG_0050.JPG,2020-02-12,08:18,Muestreo ct sauce/CT S 2020/S1/IMG_0050.JPG,True,True,True
111,Sauce,2020,S1,guanaco,2.0,IMG_0051.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0051.JPG,True,False,True
112,Sauce,2020,S1,guanaco,2.0,IMG_0052.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0052.JPG,True,False,True
113,Sauce,2020,S1,guanaco,2.0,IMG_0053.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0053.JPG,True,False,True
114,Sauce,2020,S1,guanaco,2.0,IMG_0054.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0054.JPG,True,False,True
115,Sauce,2020,S1,guanaco,2.0,IMG_0055.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0055.JPG,True,False,True
116,Sauce,2020,S1,guanaco,2.0,IMG_0056.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0056.JPG,True,False,True
117,Sauce,2020,S1,guanaco,2.0,IMG_0057.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0057.JPG,True,False,True
118,Sauce,2020,S1,guanaco,2.0,IMG_0058.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0058.JPG,True,False,True
119,Sauce,2020,S1,guanaco,2.0,IMG_0059.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0059.JPG,True,False,True
120,Sauce,2020,S1,guanaco,1.0,IMG_0060.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0060.JPG,True,False,True
121,Sauce,2020,S1,guanaco,1.0,IMG_0061.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0061.JPG,True,False,True
122,Sauce,2020,S1,guanaco,1.0,IMG_0062.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0062.JPG,True,False,True
123,Sauce,2020,S1,guanaco,1.0,IMG_0063.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0063.JPG,True,False,True
124,Sauce,2020,S1,guanaco,1.0,IMG_0064.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0064.JPG,True,False,True
125,Sauce,2020,S1,guanaco,1.0,IMG_0065.JPG,2020-02-12,08:19,Muestreo ct sauce/CT S 2020/S1/IMG_0065.JPG,True,False,True
126,Sauce,2020,S1,guanaco,2.0,IMG_0066.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0066.JPG,True,False,True
127,Sauce,2020,S1,guanaco,2.0,IMG_0067.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0067.JPG,True,False,True
128,Sauce,2020,S1,guanaco,2.0,IMG_0068.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0068.JPG,True,False,True
129,Sauce,2020,S1,guanaco,2.0,IMG_0069.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0069.JPG,True,False,True
130,Sauce,2020,S1,guanaco,2.0,IMG_0070.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0070.JPG,True,False,True
131,Sauce,2020,S1,guanaco,2.0,IMG_0071.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0071.JPG,True,True,True
132,Sauce,2020,S1,guanaco,2.0,IMG_0072.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0072.JPG,True,False,True
133,Sauce,2020,S1,guanaco,2.0,IMG_0073.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0073.JPG,True,False,True
134,Sauce,2020,S1,guanaco,2.0,IMG_0074.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0074.JPG,True,False,True
135,Sauce,2020,S1,guanaco,2.0,IMG_0075.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0075.JPG,True,False,True
136,Sauce,2020,S1,guanaco,2.0,IMG_0076.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0076.JPG,True,False,True
137,Sauce,2020,S1,guanaco,2.0,IMG_0077.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0077.JPG,True,True,True
138,Sauce,2020,S1,guanaco,2.0,IMG_0078.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0078.JPG,True,False,True
139,Sauce,2020,S1,guanaco,2.0,IMG_0079.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0079.JPG,True,False,True
140,Sauce,2020,S1,guanaco,2.0,IMG_0080.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0080.JPG,True,False,True
141,Sauce,2020,S1,guanaco,2.0,IMG_0081.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0081.JPG,True,False,True
142,Sauce,2020,S1,guanaco,2.0,IMG_0082.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0082.JPG,True,False,True
143,Sauce,2020,S1,guanaco,2.0,IMG_0083.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0083.JPG,True,False,True
144,Sauce,2020,S1,guanaco,2.0,IMG_0084.JPG,2020-02-12,08:21,Muestreo ct sauce/CT S 2020/S1/IMG_0084.JPG,True,False,True
145,Sauce,2020,S1,guanaco,2.0,IMG_0085.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0085.JPG,True,False,True
146,Sauce,2020,S1,guanaco,2.0,IMG_0086.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0086.JPG,True,False,True
147,Sauce,2020,S1,guanaco,2.0,IMG_0087.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0087.JPG,True,False,True
148,Sauce,2020,S1,guanaco,1.0,IMG_0088.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0088.JPG,True,False,True
149,Sauce,2020,S1,guanaco,1.0,IMG_0089.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0089.JPG,True,False,True
150,Sauce,2020,S1,guanaco,1.0,IMG_0090.JPG,2020-02-12,08:22,Muestreo ct sauce/CT S 2020/S1/IMG_0090.JPG,True,False,True
151,Sauce,2020,S1,guanaco,2.0,IMG_0091.JPG,2020-02-12,08:23,Muestreo ct sauce/CT S 2020/S1/IMG_0091.JPG,True,False,True
152,Sauce,2020,S1,guanaco,2.0,IMG_0092.JPG,2020-02-12,08:24,Muestreo ct sauce/CT S 2020/S1/IMG_0092.JPG,True,False,True
153,Sauce,2020,S1,guanaco,2.0,IMG_0093.JPG,2020-02-12,08:24,Muestreo ct sauce/CT S 2020/S1/IMG_0093.JPG,True,False,True
154,Sauce,2020,S1,guanaco,2.0,IMG_0094.JPG,2020-02-12,08:24,Muestreo ct sauce/CT S 2020/S1/IMG_0094.JPG,True,False,True
155,Sauce,2020,S1,guanaco,2.0,IMG_0095.JPG,2020-02-12,08:24,Muestreo ct sauce/CT S 2020/S1/IMG_0095.JPG,True,False,True
156,Sauce,2020,S1,guanaco,2.0,IMG_0096.JPG,2020-02-12,08:26,Muestreo ct sauce/CT S 2020/S1/IMG_0096.JPG,True,False,True
157,Sauce,2020,S1,guanaco,3.0,IMG_0097.JPG,2020-02-12,08:26,Muestreo ct sauce/CT S 2020/S1/IMG_0097.JPG,True,False,True
158,Sauce,2020,S1,guanaco,3.0,IMG_0098.JPG,2020-02-12,08:26,Muestreo ct sauce/CT S 2020/S1/IMG_0098.JPG,True,False,True
159,Sauce,2020,S1,guanaco,3.0,IMG_0099.JPG,2020-02-12,08:26,Muestreo ct sauce/CT S 2020/S1/IMG_0099.JPG,True,False,True
160,Sauce,2020,S1,guanaco,3.0,IMG_0100.JPG,2020-02-12,08:26,Muestreo ct sauce/CT S 2020/S1/IMG_0100.JPG,True,False,True
161,Sauce,2020,S1,guanaco,2.0,IMG_0101.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0101.JPG,True,False,True
162,Sauce,2020,S1,guanaco,2.0,IMG_0102.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0102.JPG,True,False,True
163,Sauce,2020,S1,guanaco,2.0,IMG_0103.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0103.JPG,True,False,True
164,Sauce,2020,S1,guanaco,2.0,IMG_0104.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0104.JPG,True,False,True
165,Sauce,2020,S1,guanaco,2.0,IMG_0105.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0105.JPG,True,False,True
166,Sauce,2020,S1,guanaco,2.0,IMG_0106.JPG,2020-02-12,11:19,Muestreo ct sauce/CT S 2020/S1/IMG_0106.JPG,True,False,True
